Rank,Club,Country,Level,Elo,From,To
1.0,Arsenal,ENG,1,2063.75805664,2026-05-31,2026-08-21
2.0,Bayern,GER,1,2000.8704834,2026-05-21,2026-08-28
3.0,Man City,ENG,1,1970.85388184,2026-05-31,2026-08-23
4.0,Paris SG,FRA,1,1967.87866211,2026-05-31,2026-08-23
5.0,Barcelona,ESP,1,1951.58850098,2026-05-28,2026-08-23
6.0,Real Madrid,ESP,1,1922.91186523,2026-05-28,2026-08-22
7.0,Aston Villa,ENG,1,1920.97033691,2026-05-31,2026-08-23
8.0,Man United,ENG,1,1915.31591797,2026-05-31,2026-08-22
9.0,Liverpool,ENG,1,1910.79882812,2026-05-31,2026-08-23
10.0,Inter,ITA,1,1888.60217285,2026-05-24,2026-08-22
11.0,Bournemouth,ENG,1,1871.9699707,2026-05-31,2026-08-23
12.0,Sporting,POR,1,1847.9276123,2026-08-09,2026-08-14
13.0,Brighton,ENG,1,1842.01062012,2026-05-31,2026-08-23
14.0,Newcastle,ENG,1,1837.53125,2026-05-31,2026-08-23
15.0,Brentford,ENG,1,1836.59033203,2026-05-31,2026-08-22
16.0,Dortmund,GER,1,1834.76879883,2026-05-25,2026-08-29
17.0,Chelsea,ENG,1,1831.1036377,2026-05-31,2026-08-24
18.0,Atletico,ESP,1,1827.6751709,2026-05-28,2026-08-19
19.0,Benfica,POR,0,1823.50891113,2026-08-07,2026-08-30
20.0,Forest,ENG,1,1822.16992188,2026-05-31,2026-08-22
21.0,Fulham,ENG,1,1813.09570312,2026-05-31,2026-08-24
22.0,Porto,POR,1,1805.94592285,2026-08-10,2026-08-30
23.0,Leverkusen,GER,1,1804.02624512,2026-05-31,2026-08-29
24.0,Crystal Palace,ENG,1,1803.82470703,2026-05-31,2026-08-22
25.0,Everton,ENG,1,1803.43066406,2026-05-31,2026-08-22
26.0,Leeds,ENG,1,1797.3885498,2026-05-31,2026-08-22
27.0,Roma,ITA,1,1793.45068359,2026-05-25,2026-08-24
28.0,Napoli,ITA,1,1780.29577637,2026-05-25,2026-08-22
29.0,Tottenham,ENG,1,1777.30908203,2026-05-31,2026-08-22
30.0,Juventus,ITA,1,1772.25598145,2026-05-25,2026-08-23
31.0,West Ham,ENG,2,1768.80187988,2026-07-04,2026-08-16
32.0,Lens,FRA,1,1767.04321289,2026-05-31,2026-08-22
33.0,Stuttgart,GER,1,1763.83435059,2026-05-25,2026-08-28
34.0,Atalanta,ITA,1,1763.51831055,2026-05-23,2026-08-23
35.0,RB Leipzig,GER,1,1761.90356445,2026-05-21,2026-08-29
36.0,Como,ITA,1,1760.02868652,2026-05-28,2026-08-22
37.0,Villarreal,ESP,1,1759.34472656,2026-05-28,2026-08-16
38.0,PSV,NED,1,1759.13476562,2026-08-09,2026-08-15
39.0,Brugge,BEL,1,1757.43847656,2026-08-08,2026-08-15
40.0,Milan,ITA,1,1750.04187012,2026-05-25,2026-08-23
41.0,Betis,ESP,1,1747.13098145,2026-05-28,2026-08-21
42.0,Lille,FRA,1,1743.70898438,2026-05-31,2026-08-23
43.0,Sunderland,ENG,1,1735.93017578,2026-05-31,2026-08-22
44.0,Lyon,FRA,1,1731.61791992,2026-08-12,2026-08-22
45.0,Freiburg,GER,1,1724.91345215,2026-05-21,2026-08-30
